x0000,y0000,x0001,y0001,x0002,y0002,x0003,y0003,x0004,y0004,x0005,y0005,x0006,y0006,x0007,y0007
2.598493417,-12.46133097,2.598493417,-12.54858459,2.598493417,-12.51916351,2.598493417,-12.68002449,2.598493417,-12.46461838,2.598493417,-12.53879894,2.598493417,-12.55934987,2.598493417,-12.56600043,
2.630678101,-12.4029599,2.630678101,-12.53326711,2.630678101,-12.51225277,2.630678101,-12.55089965,2.630678101,-12.50293806,2.630678101,-12.52517434,2.630678101,-12.5359789,2.630678101,-12.5191516,
2.660641324,-12.40098962,2.660641324,-12.66469002,2.660641324,-12.51509169,2.660641324,-12.52273392,2.660641324,-12.56615442,2.660641324,-12.4596539,2.660641324,-12.51423907,2.660641324,-12.49532605,
2.688670048,-12.39217067,2.688670048,-12.64758182,2.688670048,-12.49722137,2.688670048,-12.57236977,2.688670048,-12.59639718,2.688670048,-12.49966268,2.688670048,-12.57983436,2.688670048,-12.4810377,
2.714998986,-12.44011514,2.714998986,-12.56119569,2.714998986,-12.53835691,2.714998986,-12.62680656,2.714998986,-12.55648501,2.714998986,-12.52336024,2.714998986,-12.60878255,2.714998986,-12.49993212,
2.73982257,-12.47143764,2.73982257,-12.66491914,2.73982257,-12.50227257,2.73982257,-12.56080268,2.73982257,-12.53601153,2.73982257,-12.54527412,2.73982257,-12.62501945,2.73982257,-12.51614961,
2.763303666,-12.46494486,2.763303666,-12.63181856,2.763303666,-12.54220538,2.763303666,-12.5266506,2.763303666,-12.50920562,2.763303666,-12.62491378,2.763303666,-12.64378287,2.763303666,-12.58521628,
2.785580061,-12.49724044,2.785580061,-12.55919578,2.785580061,-12.58568398,2.785580061,-12.58740878,2.785580061,-12.53436622,2.785580061,-12.55458908,2.785580061,-12.6117236,2.785580061,-12.5640194,
2.80676936,-12.51391724,2.80676936,-12.55932966,2.80676936,-12.60122665,2.80676936,-12.67330922,2.80676936,-12.51190634,2.80676936,-12.53345413,2.80676936,-12.60819012,2.80676936,-12.56153526,
2.826972746,-12.53052745,2.826972746,-12.62239669,2.826972746,-12.61046494,2.826972746,-12.6237584,2.826972746,-12.55234293,2.826972746,-12.59195609,2.826972746,-12.58863347,2.826972746,-12.57431086,
2.846277901,-12.39550899,2.846277901,-12.65558939,2.846277901,-12.58514525,2.846277901,-12.57943736,2.846277901,-12.48151577,2.846277901,-12.6122788,2.846277901,-12.53861106,2.846277901,-12.52537687,
2.864761307,-12.38646541,2.864761307,-12.60958962,2.864761307,-12.5609377,2.864761307,-12.65146205,2.864761307,-12.44889884,2.864761307,-12.62314634,2.864761307,-12.54708997,2.864761307,-12.5877447,
2.882490074,-12.44667594,2.882490074,-12.53489355,2.882490074,-12.56081306,2.882490074,-12.63214778,2.882490074,-12.48367362,2.882490074,-12.6688296,2.882490074,-12.57333779,2.882490074,-12.66844873,
2.899523413,-12.41636395,2.899523413,-12.49453011,2.899523413,-12.57661633,2.899523413,-12.60287786,2.899523413,-12.48199997,2.899523413,-12.64123152,2.899523413,-12.62789083,2.899523413,-12.62146447,
2.915913829,-12.45016498,2.915913829,-12.53091683,2.915913829,-12.51138316,2.915913829,-12.62736826,2.915913829,-12.52286894,2.915913829,-12.60301224,2.915913829,-12.58855841,2.915913829,-12.5577774,
2.931708096,-12.51760057,2.931708096,-12.59365202,2.931708096,-12.50220181,2.931708096,-12.5770455,2.931708096,-12.56937254,2.931708096,-12.58137663,2.931708096,-12.5321709,2.931708096,-12.60156348,
2.946948063,-12.48277693,2.946948063,-12.6281487,2.946948063,-12.53485102,2.946948063,-12.58719664,2.946948063,-12.60629094,2.946948063,-12.55789408,2.946948063,-12.4919383,2.946948063,-12.58697039,
2.96167132,-12.57528773,2.96167132,-12.5863577,2.96167132,-12.57706293,2.96167132,-12.62567529,2.96167132,-12.6225921,2.96167132,-12.5432354,2.96167132,-12.47788756,2.96167132,-12.61652091,
2.975911759,-12.59090674,2.975911759,-12.54991197,2.975911759,-12.54456942,2.975911759,-12.67819456,2.975911759,-12.54349292,2.975911759,-12.36596445,2.975911759,-12.5407307,2.975911759,-12.61672626,
2.989700043,-12.48592631,2.989700043,-12.53300611,2.989700043,-12.50502437,2.989700043,-12.64261719,2.989700043,-12.55823976,2.989700043,-12.51881021,2.989700043,-12.55374463,2.989700043,-12.61073889,
